word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"alos",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"alouette",0,0,0,0,2,0,0,0,0,0,0,0,0,1
"alphabet",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"alphonse",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"alpiniste",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"alur",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"am",0,0,0,0,0,0,0,1,1,2,0,0,2,0
"amande",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"amandes",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"amateur",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"amatrice",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ambiante",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ambidextre",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ambitieux",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ame",0,3,0,0,0,5,0,0,0,3,5,0,9,5
"ameli",1,0,2,0,0,0,0,0,0,0,0,0,0,0
"amenaient",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"amener",0,1,1,0,5,0,1,0,0,1,1,4,2,2
"amené",0,0,0,1,1,0,1,2,3,0,0,1,0,0
"amenée",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"amenés",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"amer",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ami",1,3,0,1,0,0,1,0,0,1,0,2,4,8
"amiante",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"amie",0,0,0,0,1,0,0,0,0,0,0,2,1,1
"amincissement",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"amis",0,1,0,2,1,0,0,0,2,2,2,4,1,4
"amitié",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ammené",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"ammène",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ammènes",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"amortit",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"amour",0,0,7,2,1,0,2,3,10,0,13,0,1,2
"amoureux",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"amours",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"amphore",0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ampoule",0,0,0,1,0,0,0,0,0,0,1,1,0,0
"amusaient",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"amusait",0,0,0,0,0,0,0,0,0,0,1,0,0,0
